method,model_name,task_name,train_subset_size,seed,accuracy,majority_baseline,collapsed,trainable_parameters,peft_parameters,classifier_parameters,ia3_mode,elapsed_seconds,learning_rate,batch_size,max_length,warmup_ratio,max_grad_norm,bf16,num_train_epochs,seed_semantics
lora,bert-base-uncased,qnli,320,41,0.7358594179022515,0.5053999633900788,False,296450,294912,1538,,5.7,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,1280,31,0.8074318140215998,0.5053999633900788,False,296450,294912,1538,,18.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,1280,37,0.8094453596924767,0.5053999633900788,False,296450,294912,1538,,22.9,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora,bert-base-uncased,qnli,1280,41,0.8217096833241808,0.5053999633900788,False,296450,294912,1538,,18.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,qnli,80,31,0.5974739154310819,0.5053999633900788,False,399364,397824,1540,,2.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,qnli,80,37,0.6741717005308439,0.5053999633900788,False,399364,397824,1540,,3.1,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,qnli,80,41,0.5956434193666483,0.5053999633900788,False,399364,397824,1540,,3.4,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,qnli,320,31,0.7290865824638477,0.5053999633900788,False,399364,397824,1540,,6.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,qnli,320,37,0.7378729635731284,0.5053999633900788,False,399364,397824,1540,,7.3,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
lora_bitfit,bert-base-uncased,qnli,320,41,0.7395204100311185,0.5053999633900788,False,399364,397824,1540,,6.8,0.0002,16,128,0.1,1.0,True,10,controls data_subsample + model_init + adapter_init + classifier_init + dataloader_shuffle
